<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.MICEX10INDEX;D;20091124;000000;2947.3300000;2947.3300000;2877.8700000;2924.5500000;50214863682
RI.MICEX10INDEX;D;20091125;000000;2940.0400000;2950.9700000;2856.3200000;2886.0600000;47363593533
RI.MICEX10INDEX;D;20091126;000000;2853.3900000;2856.6900000;2743.4500000;2770.1900000;47477159838
RI.MICEX10INDEX;D;20091127;000000;2688.9000000;2817.1100000;2562.7900000;2811.4400000;71815387623
RI.MICEX10INDEX;D;20091130;000000;2828.7800000;2865.6900000;2781.9800000;2844.2200000;61649733450
RI.MICEX10INDEX;D;20091201;000000;2868.5000000;2916.0200000;2848.0500000;2912.7200000;51495617586
RI.MICEX10INDEX;D;20091202;000000;2911.7000000;2963.5500000;2898.5600000;2938.5900000;57548760041
RI.MICEX10INDEX;D;20091203;000000;2941.1900000;2987.6600000;2914.1200000;2918.3800000;57754094584
RI.MICEX10INDEX;D;20091204;000000;2907.2000000;2997.6600000;2855.8400000;2984.0400000;54077300019
RI.MICEX10INDEX;D;20091207;000000;2963.3300000;2963.3300000;2908.5000000;2936.9300000;37053277938
RI.MICEX10INDEX;D;20091208;000000;2928.1000000;2968.1600000;2767.7500000;2915.0400000;39356572812
RI.MICEX10INDEX;D;20091209;000000;2903.4100000;2991.1500000;2886.9100000;2909.8000000;42420594859
RI.MICEX10INDEX;D;20091210;000000;2899.2500000;3087.1700000;2869.7800000;2932.0700000;42665735323
RI.MICEX10INDEX;D;20091211;000000;2951.9900000;3359.2600000;2912.2300000;2925.5300000;41931630308
RI.MICEX10INDEX;D;20091214;000000;2944.7300000;3630.5400000;2925.3300000;2953.6900000;27274172227
RI.MICEX10INDEX;D;20091215;000000;2955.4900000;3665.3600000;2947.2100000;3004.2300000;43657729897
RI.MICEX10INDEX;D;20091216;000000;3121.4000000;3158.2100000;2997.0100000;3155.8900000;73482617610
RI.MICEX10INDEX;D;20091217;000000;3126.8600000;3299.1600000;3093.9400000;3108.2800000;81692727896
RI.MICEX10INDEX;D;20091218;000000;3123.5000000;3283.9100000;3123.5000000;3147.7700000;52337901724
RI.MICEX10INDEX;D;20091221;000000;3172.2700000;3311.8400000;3145.5200000;3192.2500000;47677741174
RI.MICEX10INDEX;D;20091222;000000;3191.1900000;3322.3600000;3145.0200000;3163.8100000;37981513594
RI.MICEX10INDEX;D;20091223;000000;3187.2700000;3193.4900000;3130.8500000;3148.0100000;38899679935
RI.MICEX10INDEX;D;20091224;000000;3160.6400000;3182.0500000;3060.0400000;3089.5500000;32100783610
RI.MICEX10INDEX;D;20091225;000000;3085.7200000;3151.4200000;3059.4000000;3108.7000000;16571075973
RI.MICEX10INDEX;D;20091228;000000;3117.6700000;3180.7000000;3116.3600000;3125.4800000;14671129897
RI.MICEX10INDEX;D;20091229;000000;3123.7400000;3179.4700000;3113.2100000;3143.7200000;17166638248
RI.MICEX10INDEX;D;20091230;000000;3135.7600000;3156.2600000;3115.5200000;3120.3400000;14449123946
RI.MICEX10INDEX;D;20091231;000000;3121.4400000;3136.9700000;3121.4400000;3134.7100000;3890292346
RI.MICEX10INDEX;D;20100111;000000;3250.9200000;3377.0900000;3250.9200000;3347.7500000;46395680445
RI.MICEX10INDEX;D;20100112;000000;3340.1800000;3344.6900000;3307.3400000;3318.9500000;33824686771
RI.MICEX10INDEX;D;20100113;000000;3291.8200000;3387.4700000;3285.3800000;3359.7700000;38485586759
